Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-01-16 00:00:00,36737.43,37669.0,35852.93,36532.92,15996.272919,2021-01-16 03:59:59.999,590057850.6442553,342966,8076.355383,297983081.69600046,0
2021-01-16 04:00:00,36532.92,36959.61,35520.0,36574.86,12788.977347,2021-01-16 07:59:59.999,463626987.6888563,282495,6060.35167,219882958.05444697,0
2021-01-16 08:00:00,36565.74,37950.0,36375.88,37680.0,14546.1365,2021-01-16 11:59:59.999,543759642.9870384,370572,7561.253119,282630509.5229075,0
2021-01-16 12:00:00,37680.0,37886.0,36671.2,37461.99,14905.098979,2021-01-16 15:59:59.999,555837218.9038811,382651,7421.473847,276889707.11668754,0
2021-01-16 16:00:00,37463.46,37713.94,36200.0,36376.39,12777.18605,2021-01-16 19:59:59.999,471208170.1731204,338068,6425.293891,236940391.1694609,0
2021-01-16 20:00:00,36376.39,36800.0,35357.8,35994.98,15334.759713,2021-01-16 23:59:59.999,554350465.752133,349611,6875.695826,248833474.45183092,0
2021-01-17 00:00:00,35994.98,36744.05,35520.0,36177.0,10523.420907,2021-01-17 03:59:59.999,381269344.351566,294292,5472.348624,198295480.3570388,0
2021-01-17 04:00:00,36177.0,36382.38,34518.04,34760.9,14085.48497,2021-01-17 07:59:59.999,498540134.3812346,305622,6040.528335,213887196.98176947,0
2021-01-17 08:00:00,34760.91,35400.0,33850.0,35267.17,20790.970257,2021-01-17 11:59:59.999,720441738.3096222,407306,10100.776138,350111169.2133261,0
2021-01-17 12:00:00,35270.0,35973.89,34666.0,35728.47,14071.341158,2021-01-17 15:59:59.999,496464151.78450376,320526,7082.147557,249951825.97375825,0
2021-01-17 16:00:00,35728.47,36166.47,35514.99,35633.91,9298.406284,2021-01-17 19:59:59.999,333403616.09522617,251700,4978.960598,178533085.0484924,0
2021-01-17 20:00:00,35633.9,36852.5,35506.0,35828.61,11388.103808,2021-01-17 23:59:59.999,412984055.31851137,281196,5838.877309,211869875.2768396,0
2021-01-18 00:00:00,35824.99,36208.0,34842.99,35106.25,12865.201223,2021-01-18 03:59:59.999,458784067.4704464,275492,5630.92909,201096490.65041697,0
2021-01-18 04:00:00,35108.27,36278.68,34800.0,36104.61,9931.587621,2021-01-18 07:59:59.999,352219573.6697441,242967,4730.151887,167809299.12787744,0
2021-01-18 08:00:00,36100.55,36650.0,35771.6,36442.08,11719.16756,2021-01-18 11:59:59.999,424923319.642325,289027,6058.800897,219686668.35166416,0
2021-01-18 12:00:00,36443.91,37469.83,36047.89,36405.98,18106.506954,2021-01-18 15:59:59.999,667252338.447238,388795,10114.412542,372955176.4949249,0
2021-01-18 16:00:00,36405.99,36565.0,35400.0,35956.14,10602.829967,2021-01-18 19:59:59.999,380387474.9941724,308949,5053.926194,181359028.8204334,0
2021-01-18 20:00:00,35951.83,36777.77,35755.01,36631.27,7472.825425,2021-01-18 23:59:59.999,271276486.3004732,202536,4033.285438,146440523.721212,0
2021-01-19 00:00:00,36622.46,37280.0,36364.43,36465.3,15332.388515,2021-01-19 03:59:59.999,564457871.6667069,340152,8235.410375,303280103.14003694,0
2021-01-19 04:00:00,36468.31,37233.87,36002.01,37168.82,11299.226279,2021-01-19 07:59:59.999,413243384.1947598,264386,5323.976964,194849640.89939177,0
2021-01-19 08:00:00,37167.92,37535.27,36750.0,37266.49,15170.795477,2021-01-19 11:59:59.999,563851434.9204919,326288,7490.142563,278479548.1613632,0
2021-01-19 12:00:00,37263.73,37449.0,36610.0,37329.4,11966.646727,2021-01-19 15:59:59.999,443454567.3578516,291327,5528.80394,204946106.988447,0
2021-01-19 16:00:00,37329.4,37850.0,36052.04,36279.82,15604.759741,2021-01-19 19:59:59.999,577774848.4660553,438646,7733.567306,286657736.246096,0
2021-01-19 20:00:00,36281.66,36777.88,35844.06,35891.49,10237.49103,2021-01-19 23:59:59.999,372566392.73834854,278572,4392.780472,160022574.41663444,0
2021-01-20 00:00:00,35901.94,36415.31,35000.0,35062.49,13775.591884,2021-01-20 03:59:59.999,493054481.7952016,340127,6331.010615,226833488.1181486,0
2021-01-20 04:00:00,35062.49,35909.95,34737.0,35677.14,14008.503787,2021-01-20 07:59:59.999,495275155.78981054,345667,6476.145939,229102803.62360248,0
